Doc,Source Idx,Source,Target Idx,Target,Distance,Difference,relation_type
Language Models for Lexical Inference in Context,0,"Lexical inference in context (LIiC) is the task of recognizing textual entailment between two very similar sentences, i.e., sentences that only differ in one expression.",2,"Consider, e.g., run ⇒ lead in a PERSON / COMPANY context (`` Bezos runs Amazon"") vs. run ⇒ execute in a COMPUTER / SOFTWARE context (`` My mac runs macOS"").","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Language Models for Lexical Inference in Context,0,"Lexical inference in context (LIiC) is the task of recognizing textual entailment between two very similar sentences, i.e., sentences that only differ in one expression.",3,"Besides the important use case of evaluating NLI systems, this kind of predicate entailment has also been shown useful for question answering (Schoenmackers et al. , 2010), event coreference (Shwartz et al. , 2017; Meged et al. , 2020), and link prediction in knowledge graphs (Hosseini et al. , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Language Models for Lexical Inference in Context,0,"Lexical inference in context (LIiC) is the task of recognizing textual entailment between two very similar sentences, i.e., sentences that only differ in one expression.",4,"Despite its NLI nature, previous systems for LIiC have primarily been models of lexical similarity (Levy and Dagan , 2016) or models based on verb argument inclusion (Hosseini et al. , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Language Models for Lexical Inference in Context,0,"Lexical inference in context (LIiC) is the task of recognizing textual entailment between two very similar sentences, i.e., sentences that only differ in one expression.",5,"The reason is probably that supervised NLI models need large amounts of training data, which is unavailable for LIiC, and that systems trained on available large-scale NLI benchmarks (e.g., Williams et al. , 2018) have been reported to insufficiently cover lexical phenomena (Glockner et al. , 2018; Schmitt and Schütze , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Language Models for Lexical Inference in Context,0,"Lexical inference in context (LIiC) is the task of recognizing textual entailment between two very similar sentences, i.e., sentences that only differ in one expression.",6,"Recently, transfer learning has become ubiquitous in NLP; Transformer (Vaswani et al. , 2017) language models (LMs) pretrained on large amounts of textual data (?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Language Models for Lexical Inference in Context,0,"Lexical inference in context (LIiC) is the task of recognizing textual entailment between two very similar sentences, i.e., sentences that only differ in one expression.",7,"Liu et al. , 2019) form the basis of a lot of current state-of-the-art models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Language Models for Lexical Inference in Context,0,"Lexical inference in context (LIiC) is the task of recognizing textual entailment between two very similar sentences, i.e., sentences that only differ in one expression.",8,"Besides zero-and few-shot capabilities (Radford et al. , 2019; Brown et al. , 2020), pretrained LMs have also been found to acquire factual and relational knowledge during pretraining (Petroni et al. , 2019; Bouraoui et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Language Models for Lexical Inference in Context,0,"Lexical inference in context (LIiC) is the task of recognizing textual entailment between two very similar sentences, i.e., sentences that only differ in one expression.",9,"( 5) In contrast to previous work on relation induction (Bouraoui et al. , 2020), automatically retrieved patterns do not outperform handcrafted ones for LIiC.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",9,no-link
Language Models for Lexical Inference in Context,1,It can therefore be seen as a variant of the natural language inference task that is focused on lexical semantics.,2,"Consider, e.g., run ⇒ lead in a PERSON / COMPANY context (`` Bezos runs Amazon"") vs. run ⇒ execute in a COMPUTER / SOFTWARE context (`` My mac runs macOS"").","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Language Models for Lexical Inference in Context,1,It can therefore be seen as a variant of the natural language inference task that is focused on lexical semantics.,3,"Besides the important use case of evaluating NLI systems, this kind of predicate entailment has also been shown useful for question answering (Schoenmackers et al. , 2010), event coreference (Shwartz et al. , 2017; Meged et al. , 2020), and link prediction in knowledge graphs (Hosseini et al. , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Language Models for Lexical Inference in Context,1,It can therefore be seen as a variant of the natural language inference task that is focused on lexical semantics.,4,"Despite its NLI nature, previous systems for LIiC have primarily been models of lexical similarity (Levy and Dagan , 2016) or models based on verb argument inclusion (Hosseini et al. , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Language Models for Lexical Inference in Context,1,It can therefore be seen as a variant of the natural language inference task that is focused on lexical semantics.,5,"The reason is probably that supervised NLI models need large amounts of training data, which is unavailable for LIiC, and that systems trained on available large-scale NLI benchmarks (e.g., Williams et al. , 2018) have been reported to insufficiently cover lexical phenomena (Glockner et al. , 2018; Schmitt and Schütze , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Language Models for Lexical Inference in Context,1,It can therefore be seen as a variant of the natural language inference task that is focused on lexical semantics.,6,"Recently, transfer learning has become ubiquitous in NLP; Transformer (Vaswani et al. , 2017) language models (LMs) pretrained on large amounts of textual data (?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Language Models for Lexical Inference in Context,1,It can therefore be seen as a variant of the natural language inference task that is focused on lexical semantics.,7,"Liu et al. , 2019) form the basis of a lot of current state-of-the-art models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Language Models for Lexical Inference in Context,1,It can therefore be seen as a variant of the natural language inference task that is focused on lexical semantics.,8,"Besides zero-and few-shot capabilities (Radford et al. , 2019; Brown et al. , 2020), pretrained LMs have also been found to acquire factual and relational knowledge during pretraining (Petroni et al. , 2019; Bouraoui et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Language Models for Lexical Inference in Context,1,It can therefore be seen as a variant of the natural language inference task that is focused on lexical semantics.,9,"( 5) In contrast to previous work on relation induction (Bouraoui et al. , 2020), automatically retrieved patterns do not outperform handcrafted ones for LIiC.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",8,no-link
Language Models for Lexical Inference in Context,2,"Consider, e.g., run ⇒ lead in a PERSON / COMPANY context (`` Bezos runs Amazon"") vs. run ⇒ execute in a COMPUTER / SOFTWARE context (`` My mac runs macOS"").",3,"Besides the important use case of evaluating NLI systems, this kind of predicate entailment has also been shown useful for question answering (Schoenmackers et al. , 2010), event coreference (Shwartz et al. , 2017; Meged et al. , 2020), and link prediction in knowledge graphs (Hosseini et al. , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Language Models for Lexical Inference in Context,2,"Consider, e.g., run ⇒ lead in a PERSON / COMPANY context (`` Bezos runs Amazon"") vs. run ⇒ execute in a COMPUTER / SOFTWARE context (`` My mac runs macOS"").",4,"Despite its NLI nature, previous systems for LIiC have primarily been models of lexical similarity (Levy and Dagan , 2016) or models based on verb argument inclusion (Hosseini et al. , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Language Models for Lexical Inference in Context,2,"Consider, e.g., run ⇒ lead in a PERSON / COMPANY context (`` Bezos runs Amazon"") vs. run ⇒ execute in a COMPUTER / SOFTWARE context (`` My mac runs macOS"").",5,"The reason is probably that supervised NLI models need large amounts of training data, which is unavailable for LIiC, and that systems trained on available large-scale NLI benchmarks (e.g., Williams et al. , 2018) have been reported to insufficiently cover lexical phenomena (Glockner et al. , 2018; Schmitt and Schütze , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Language Models for Lexical Inference in Context,2,"Consider, e.g., run ⇒ lead in a PERSON / COMPANY context (`` Bezos runs Amazon"") vs. run ⇒ execute in a COMPUTER / SOFTWARE context (`` My mac runs macOS"").",6,"Recently, transfer learning has become ubiquitous in NLP; Transformer (Vaswani et al. , 2017) language models (LMs) pretrained on large amounts of textual data (?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Language Models for Lexical Inference in Context,2,"Consider, e.g., run ⇒ lead in a PERSON / COMPANY context (`` Bezos runs Amazon"") vs. run ⇒ execute in a COMPUTER / SOFTWARE context (`` My mac runs macOS"").",7,"Liu et al. , 2019) form the basis of a lot of current state-of-the-art models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Language Models for Lexical Inference in Context,2,"Consider, e.g., run ⇒ lead in a PERSON / COMPANY context (`` Bezos runs Amazon"") vs. run ⇒ execute in a COMPUTER / SOFTWARE context (`` My mac runs macOS"").",8,"Besides zero-and few-shot capabilities (Radford et al. , 2019; Brown et al. , 2020), pretrained LMs have also been found to acquire factual and relational knowledge during pretraining (Petroni et al. , 2019; Bouraoui et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Language Models for Lexical Inference in Context,2,"Consider, e.g., run ⇒ lead in a PERSON / COMPANY context (`` Bezos runs Amazon"") vs. run ⇒ execute in a COMPUTER / SOFTWARE context (`` My mac runs macOS"").",9,"( 5) In contrast to previous work on relation induction (Bouraoui et al. , 2020), automatically retrieved patterns do not outperform handcrafted ones for LIiC.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Language Models for Lexical Inference in Context,3,"Besides the important use case of evaluating NLI systems, this kind of predicate entailment has also been shown useful for question answering (Schoenmackers et al. , 2010), event coreference (Shwartz et al. , 2017; Meged et al. , 2020), and link prediction in knowledge graphs (Hosseini et al. , 2019).",4,"Despite its NLI nature, previous systems for LIiC have primarily been models of lexical similarity (Levy and Dagan , 2016) or models based on verb argument inclusion (Hosseini et al. , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Language Models for Lexical Inference in Context,3,"Besides the important use case of evaluating NLI systems, this kind of predicate entailment has also been shown useful for question answering (Schoenmackers et al. , 2010), event coreference (Shwartz et al. , 2017; Meged et al. , 2020), and link prediction in knowledge graphs (Hosseini et al. , 2019).",5,"The reason is probably that supervised NLI models need large amounts of training data, which is unavailable for LIiC, and that systems trained on available large-scale NLI benchmarks (e.g., Williams et al. , 2018) have been reported to insufficiently cover lexical phenomena (Glockner et al. , 2018; Schmitt and Schütze , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Language Models for Lexical Inference in Context,3,"Besides the important use case of evaluating NLI systems, this kind of predicate entailment has also been shown useful for question answering (Schoenmackers et al. , 2010), event coreference (Shwartz et al. , 2017; Meged et al. , 2020), and link prediction in knowledge graphs (Hosseini et al. , 2019).",6,"Recently, transfer learning has become ubiquitous in NLP; Transformer (Vaswani et al. , 2017) language models (LMs) pretrained on large amounts of textual data (?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Language Models for Lexical Inference in Context,3,"Besides the important use case of evaluating NLI systems, this kind of predicate entailment has also been shown useful for question answering (Schoenmackers et al. , 2010), event coreference (Shwartz et al. , 2017; Meged et al. , 2020), and link prediction in knowledge graphs (Hosseini et al. , 2019).",7,"Liu et al. , 2019) form the basis of a lot of current state-of-the-art models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Language Models for Lexical Inference in Context,3,"Besides the important use case of evaluating NLI systems, this kind of predicate entailment has also been shown useful for question answering (Schoenmackers et al. , 2010), event coreference (Shwartz et al. , 2017; Meged et al. , 2020), and link prediction in knowledge graphs (Hosseini et al. , 2019).",8,"Besides zero-and few-shot capabilities (Radford et al. , 2019; Brown et al. , 2020), pretrained LMs have also been found to acquire factual and relational knowledge during pretraining (Petroni et al. , 2019; Bouraoui et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Language Models for Lexical Inference in Context,3,"Besides the important use case of evaluating NLI systems, this kind of predicate entailment has also been shown useful for question answering (Schoenmackers et al. , 2010), event coreference (Shwartz et al. , 2017; Meged et al. , 2020), and link prediction in knowledge graphs (Hosseini et al. , 2019).",9,"( 5) In contrast to previous work on relation induction (Bouraoui et al. , 2020), automatically retrieved patterns do not outperform handcrafted ones for LIiC.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Language Models for Lexical Inference in Context,4,"Despite its NLI nature, previous systems for LIiC have primarily been models of lexical similarity (Levy and Dagan , 2016) or models based on verb argument inclusion (Hosseini et al. , 2019).",5,"The reason is probably that supervised NLI models need large amounts of training data, which is unavailable for LIiC, and that systems trained on available large-scale NLI benchmarks (e.g., Williams et al. , 2018) have been reported to insufficiently cover lexical phenomena (Glockner et al. , 2018; Schmitt and Schütze , 2019).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Language Models for Lexical Inference in Context,4,"Despite its NLI nature, previous systems for LIiC have primarily been models of lexical similarity (Levy and Dagan , 2016) or models based on verb argument inclusion (Hosseini et al. , 2019).",6,"Recently, transfer learning has become ubiquitous in NLP; Transformer (Vaswani et al. , 2017) language models (LMs) pretrained on large amounts of textual data (?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Language Models for Lexical Inference in Context,4,"Despite its NLI nature, previous systems for LIiC have primarily been models of lexical similarity (Levy and Dagan , 2016) or models based on verb argument inclusion (Hosseini et al. , 2019).",7,"Liu et al. , 2019) form the basis of a lot of current state-of-the-art models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Language Models for Lexical Inference in Context,4,"Despite its NLI nature, previous systems for LIiC have primarily been models of lexical similarity (Levy and Dagan , 2016) or models based on verb argument inclusion (Hosseini et al. , 2019).",8,"Besides zero-and few-shot capabilities (Radford et al. , 2019; Brown et al. , 2020), pretrained LMs have also been found to acquire factual and relational knowledge during pretraining (Petroni et al. , 2019; Bouraoui et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Language Models for Lexical Inference in Context,4,"Despite its NLI nature, previous systems for LIiC have primarily been models of lexical similarity (Levy and Dagan , 2016) or models based on verb argument inclusion (Hosseini et al. , 2019).",9,"( 5) In contrast to previous work on relation induction (Bouraoui et al. , 2020), automatically retrieved patterns do not outperform handcrafted ones for LIiC.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Language Models for Lexical Inference in Context,5,"The reason is probably that supervised NLI models need large amounts of training data, which is unavailable for LIiC, and that systems trained on available large-scale NLI benchmarks (e.g., Williams et al. , 2018) have been reported to insufficiently cover lexical phenomena (Glockner et al. , 2018; Schmitt and Schütze , 2019).",6,"Recently, transfer learning has become ubiquitous in NLP; Transformer (Vaswani et al. , 2017) language models (LMs) pretrained on large amounts of textual data (?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Language Models for Lexical Inference in Context,5,"The reason is probably that supervised NLI models need large amounts of training data, which is unavailable for LIiC, and that systems trained on available large-scale NLI benchmarks (e.g., Williams et al. , 2018) have been reported to insufficiently cover lexical phenomena (Glockner et al. , 2018; Schmitt and Schütze , 2019).",7,"Liu et al. , 2019) form the basis of a lot of current state-of-the-art models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Language Models for Lexical Inference in Context,5,"The reason is probably that supervised NLI models need large amounts of training data, which is unavailable for LIiC, and that systems trained on available large-scale NLI benchmarks (e.g., Williams et al. , 2018) have been reported to insufficiently cover lexical phenomena (Glockner et al. , 2018; Schmitt and Schütze , 2019).",8,"Besides zero-and few-shot capabilities (Radford et al. , 2019; Brown et al. , 2020), pretrained LMs have also been found to acquire factual and relational knowledge during pretraining (Petroni et al. , 2019; Bouraoui et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Language Models for Lexical Inference in Context,5,"The reason is probably that supervised NLI models need large amounts of training data, which is unavailable for LIiC, and that systems trained on available large-scale NLI benchmarks (e.g., Williams et al. , 2018) have been reported to insufficiently cover lexical phenomena (Glockner et al. , 2018; Schmitt and Schütze , 2019).",9,"( 5) In contrast to previous work on relation induction (Bouraoui et al. , 2020), automatically retrieved patterns do not outperform handcrafted ones for LIiC.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Language Models for Lexical Inference in Context,6,"Recently, transfer learning has become ubiquitous in NLP; Transformer (Vaswani et al. , 2017) language models (LMs) pretrained on large amounts of textual data (?",7,"Liu et al. , 2019) form the basis of a lot of current state-of-the-art models.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Language Models for Lexical Inference in Context,6,"Recently, transfer learning has become ubiquitous in NLP; Transformer (Vaswani et al. , 2017) language models (LMs) pretrained on large amounts of textual data (?",8,"Besides zero-and few-shot capabilities (Radford et al. , 2019; Brown et al. , 2020), pretrained LMs have also been found to acquire factual and relational knowledge during pretraining (Petroni et al. , 2019; Bouraoui et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Language Models for Lexical Inference in Context,6,"Recently, transfer learning has become ubiquitous in NLP; Transformer (Vaswani et al. , 2017) language models (LMs) pretrained on large amounts of textual data (?",9,"( 5) In contrast to previous work on relation induction (Bouraoui et al. , 2020), automatically retrieved patterns do not outperform handcrafted ones for LIiC.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Language Models for Lexical Inference in Context,7,"Liu et al. , 2019) form the basis of a lot of current state-of-the-art models.",8,"Besides zero-and few-shot capabilities (Radford et al. , 2019; Brown et al. , 2020), pretrained LMs have also been found to acquire factual and relational knowledge during pretraining (Petroni et al. , 2019; Bouraoui et al. , 2020).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Language Models for Lexical Inference in Context,7,"Liu et al. , 2019) form the basis of a lot of current state-of-the-art models.",9,"( 5) In contrast to previous work on relation induction (Bouraoui et al. , 2020), automatically retrieved patterns do not outperform handcrafted ones for LIiC.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Language Models for Lexical Inference in Context,8,"Besides zero-and few-shot capabilities (Radford et al. , 2019; Brown et al. , 2020), pretrained LMs have also been found to acquire factual and relational knowledge during pretraining (Petroni et al. , 2019; Bouraoui et al. , 2020).",9,"( 5) In contrast to previous work on relation induction (Bouraoui et al. , 2020), automatically retrieved patterns do not outperform handcrafted ones for LIiC.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Analyzing Political Parody in Social Media,0,Parody is a figurative device used to imitate an entity for comedic or critical purposes and represents a widespread phenomenon in social media through many popular parody accounts.,1,1 * Equal contribution.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Analyzing Political Parody in Social Media,0,Parody is a figurative device used to imitate an entity for comedic or critical purposes and represents a widespread phenomenon in social media through many popular parody accounts.,2,"Traditional forms of parody include editorial cartoons, sketches or articles pretending to have been authored by the parodied person.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Analyzing Political Parody in Social Media,0,Parody is a figurative device used to imitate an entity for comedic or critical purposes and represents a widespread phenomenon in social media through many popular parody accounts.,3,"A very popular type of parody is political parody which plays an important role in public speech by offering irreverent interpretations of political personas (Hariman , 2008).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Analyzing Political Parody in Social Media,0,Parody is a figurative device used to imitate an entity for comedic or critical purposes and represents a widespread phenomenon in social media through many popular parody accounts.,4,"While closely related figurative devices such as irony and sarcasm have been extensively studied in computational linguistics (Wallace , 2015; Joshi et al. , 2017), parody yet to be explored using computational methods.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Analyzing Political Parody in Social Media,0,Parody is a figurative device used to imitate an entity for comedic or critical purposes and represents a widespread phenomenon in social media through many popular parody accounts.,5,"For example, the Speaker of the US House of Representatives, Nancy Pelosi, falsely cited a Michael Flynn parody tweet; 4 and many users were fooled by a Donald Trump parody tweet about 'Dow Joans'.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Analyzing Political Parody in Social Media,0,Parody is a figurative device used to imitate an entity for comedic or critical purposes and represents a widespread phenomenon in social media through many popular parody accounts.,6,"5 Thus, accurate parody classification methods can be useful in downstream NLP applications such as automatic fact checking (Vlachos and Riedel , 2014) and rumour verification (Karmakharm et al. , 2019), sentiment analysis (Pang et al. , 2008) or nowcasting voting intention (Tumasjan et al. , 2010; Lampos et al. , 2013; Tsakalidis et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Analyzing Political Parody in Social Media,0,Parody is a figurative device used to imitate an entity for comedic or critical purposes and represents a widespread phenomenon in social media through many popular parody accounts.,7,"Beyond NLP, parody detection can be used in: (i) political communication, to study and understand the effects of political parody in the public speech on a large scale (Hariman , 2008; Highfield , 2016); (ii) linguistics, to identify characteristics of figurative language (Rose , 1993; Kreuz and Roberts , 1993; Rossen-Knill and Henry , 1997); (iii) network science, to identify the adoption and diffusion mechanisms of parody (Vosoughi et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]",7,no-link
Analyzing Political Parody in Social Media,1,1 * Equal contribution.,2,"Traditional forms of parody include editorial cartoons, sketches or articles pretending to have been authored by the parodied person.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Analyzing Political Parody in Social Media,1,1 * Equal contribution.,3,"A very popular type of parody is political parody which plays an important role in public speech by offering irreverent interpretations of political personas (Hariman , 2008).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Analyzing Political Parody in Social Media,1,1 * Equal contribution.,4,"While closely related figurative devices such as irony and sarcasm have been extensively studied in computational linguistics (Wallace , 2015; Joshi et al. , 2017), parody yet to be explored using computational methods.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Analyzing Political Parody in Social Media,1,1 * Equal contribution.,5,"For example, the Speaker of the US House of Representatives, Nancy Pelosi, falsely cited a Michael Flynn parody tweet; 4 and many users were fooled by a Donald Trump parody tweet about 'Dow Joans'.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
Analyzing Political Parody in Social Media,1,1 * Equal contribution.,6,"5 Thus, accurate parody classification methods can be useful in downstream NLP applications such as automatic fact checking (Vlachos and Riedel , 2014) and rumour verification (Karmakharm et al. , 2019), sentiment analysis (Pang et al. , 2008) or nowcasting voting intention (Tumasjan et al. , 2010; Lampos et al. , 2013; Tsakalidis et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",5,no-link
Analyzing Political Parody in Social Media,1,1 * Equal contribution.,7,"Beyond NLP, parody detection can be used in: (i) political communication, to study and understand the effects of political parody in the public speech on a large scale (Hariman , 2008; Highfield , 2016); (ii) linguistics, to identify characteristics of figurative language (Rose , 1993; Kreuz and Roberts , 1993; Rossen-Knill and Henry , 1997); (iii) network science, to identify the adoption and diffusion mechanisms of parody (Vosoughi et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6,no-link
Analyzing Political Parody in Social Media,2,"Traditional forms of parody include editorial cartoons, sketches or articles pretending to have been authored by the parodied person.",3,"A very popular type of parody is political parody which plays an important role in public speech by offering irreverent interpretations of political personas (Hariman , 2008).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,no-link
Analyzing Political Parody in Social Media,2,"Traditional forms of parody include editorial cartoons, sketches or articles pretending to have been authored by the parodied person.",4,"While closely related figurative devices such as irony and sarcasm have been extensively studied in computational linguistics (Wallace , 2015; Joshi et al. , 2017), parody yet to be explored using computational methods.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,no-link
Analyzing Political Parody in Social Media,2,"Traditional forms of parody include editorial cartoons, sketches or articles pretending to have been authored by the parodied person.",5,"For example, the Speaker of the US House of Representatives, Nancy Pelosi, falsely cited a Michael Flynn parody tweet; 4 and many users were fooled by a Donald Trump parody tweet about 'Dow Joans'.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,no-link
Analyzing Political Parody in Social Media,2,"Traditional forms of parody include editorial cartoons, sketches or articles pretending to have been authored by the parodied person.",6,"5 Thus, accurate parody classification methods can be useful in downstream NLP applications such as automatic fact checking (Vlachos and Riedel , 2014) and rumour verification (Karmakharm et al. , 2019), sentiment analysis (Pang et al. , 2008) or nowcasting voting intention (Tumasjan et al. , 2010; Lampos et al. , 2013; Tsakalidis et al. , 2018).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",4,no-link
